Question Number,Question Text,Paragraph,Transcript,Answers,Right Answer,Answers Translation,Images
75,What is special about the factory?,,"Welcome to the Taylor Footwear factory. (74) On this tour, you will see how shoes are made and packaged before they are shipped to our distributors. (75) One aspect that makes our factory special is that everything is done by hand. Unlike most factories, where automated machines do all the work, at Taylor Footwear factory, everything is done by a team of experienced shoemakers. (76) Before this tour ends, everyone will get a chance to try making soles of leather sandals themselves with the assistance of some of our staff members.Dịch nghĩa:Chào mừng bạn đến Xưởng giày dép Taylor. (74) Trong chuyến đi này, bạn sẽ thấy giày được sản xuất và đóng gói như thế nào trước khi chúng được chuyển đến các nhà phân phối của chúng tôi. (75) Một khía cạnh làm cho nhà máy của chúng tôi đặc biệt là mọi thứ được thực hiện bằng tay. Không giống như hầu hết các nhà máy, nơi máy móc tự động làm tất cả công việc, tại Xưởng giày dép Taylor, mọi thứ đều được thực hiện bởi một nhóm các thợ đóng giày có kinh nghiệm. (76) Trước khi chuyến tham quan này kết thúc, mọi người sẽ có cơ hội thử tự làm đế của các giày da với sự hỗ trợ của một số nhân viên của chúng tôi.","['A. Its size.', 'B. Its production method.', 'C. Its automated machines.', 'D. Its location.']",B,Dịch đáp án: | 75. Nhà máy có điều gì đặc biệt? | A. Kích thước của nó. | B. Phương thức sản xuất của nó. | C. Máy móc tự động của nó. | D. Vị trí của nó.,
76,What will listeners do at the end of the tour?,,"Welcome to the Taylor Footwear factory. (74) On this tour, you will see how shoes are made and packaged before they are shipped to our distributors. (75) One aspect that makes our factory special is that everything is done by hand. Unlike most factories, where automated machines do all the work, at Taylor Footwear factory, everything is done by a team of experienced shoemakers. (76) Before this tour ends, everyone will get a chance to try making soles of leather sandals themselves with the assistance of some of our staff members.Dịch nghĩa:Chào mừng bạn đến Xưởng giày dép Taylor. (74) Trong chuyến đi này, bạn sẽ thấy giày được sản xuất và đóng gói như thế nào trước khi chúng được chuyển đến các nhà phân phối của chúng tôi. (75) Một khía cạnh làm cho nhà máy của chúng tôi đặc biệt là mọi thứ được thực hiện bằng tay. Không giống như hầu hết các nhà máy, nơi máy móc tự động làm tất cả công việc, tại Xưởng giày dép Taylor, mọi thứ đều được thực hiện bởi một nhóm các thợ đóng giày có kinh nghiệm. (76) Trước khi chuyến tham quan này kết thúc, mọi người sẽ có cơ hội thử tự làm đế của các giày da với sự hỗ trợ của một số nhân viên của chúng tôi.","['A. Participate in a hands-on experience.', 'B. Receive a free product sample.', 'C. Have refreshments.', 'D. Return to the tour bus.']",A,Dịch đáp án: | 76. Người nghe sẽ làm gì khi kết thúc chuyến tham quan? | A. Tham gia trải nghiệm thực tế. | B. Nhận mẫu sản phẩm miễn phí. | C. Ăn uống giải khát. | D. Quay lại xe du lịch.,
77,What will happen next week?,,"(77) The last item on today's meeting agenda is preparations for next week's business conference in Germany. Linda Wong from marketing and Chris Owen from sales will be representing our company at the conference. (78) This conference will connect us with more clients and more advantageous business opportunities. (79) Therefore, everyone is asked to e-mail a departmental status report in the first quarter to both Ms. Wong and Mr. Owen before the end of the week to help them prepare. Thank you.Dịch nghĩa:(77) Mục cuối cùng trong chương trình họp hôm nay là những sự chuẩn bị cho hội nghị doanh nghiệp vào tuần tới tại Đức. Linda Wong từ phòng tiếp thị và Chris Owen từ phòng bán hàng sẽ đại diện cho công ty của chúng ta tại hội nghị. (78) Hội nghị này sẽ kết nối chúng ta với nhiều khách hàng hơn và nhiều cơ hội kinh doanh thuận lợi hơn. (79) Do đó, mọi người được yêu cầu gửi e-mail một báo cáo tình trạng của phòng ban trong quý đầu tiên cho cả cô Wong và ông Owen trước khi kết thúc tuần để giúp họ chuẩn bị. Cảm ơn các bạn.","['A. A budget proposal.', 'B. A business event.', 'C. A performance evaluation.', ""D. A shareholders' meeting.""]",B,Dịch đáp án: | 77. Điều gì sẽ xảy ra vào tuần tới? | A. Một đề xuất ngân sách. | B. Một sự kiện kinh doanh. | C. Một buổi đánh giá hiệu suất. | D. Một cuộc họp cổ đông.,
78,What benefit does the speaker mention?,,"(77) The last item on today's meeting agenda is preparations for next week's business conference in Germany. Linda Wong from marketing and Chris Owen from sales will be representing our company at the conference. (78) This conference will connect us with more clients and more advantageous business opportunities. (79) Therefore, everyone is asked to e-mail a departmental status report in the first quarter to both Ms. Wong and Mr. Owen before the end of the week to help them prepare. Thank you.Dịch nghĩa:(77) Mục cuối cùng trong chương trình họp hôm nay là những sự chuẩn bị cho hội nghị doanh nghiệp vào tuần tới tại Đức. Linda Wong từ phòng tiếp thị và Chris Owen từ phòng bán hàng sẽ đại diện cho công ty của chúng ta tại hội nghị. (78) Hội nghị này sẽ kết nối chúng ta với nhiều khách hàng hơn và nhiều cơ hội kinh doanh thuận lợi hơn. (79) Do đó, mọi người được yêu cầu gửi e-mail một báo cáo tình trạng của phòng ban trong quý đầu tiên cho cả cô Wong và ông Owen trước khi kết thúc tuần để giúp họ chuẩn bị. Cảm ơn các bạn.","['A. Fewer complaints.', 'B. Reduced travel time.', 'C. Access to clients.', 'D. Strengthened security.']",C,Dịch đáp án: | 78. Người nói đề cập đến lợi ích gì? | A. Ít phàn nàn hơn. | B. Giảm thời gian đi lại. | C. Tiếp cận khách hàng. | D. Tăng cường an ninh.,
79,What are the listeners asked to do?,,"(77) The last item on today's meeting agenda is preparations for next week's business conference in Germany. Linda Wong from marketing and Chris Owen from sales will be representing our company at the conference. (78) This conference will connect us with more clients and more advantageous business opportunities. (79) Therefore, everyone is asked to e-mail a departmental status report in the first quarter to both Ms. Wong and Mr. Owen before the end of the week to help them prepare. Thank you.Dịch nghĩa:(77) Mục cuối cùng trong chương trình họp hôm nay là những sự chuẩn bị cho hội nghị doanh nghiệp vào tuần tới tại Đức. Linda Wong từ phòng tiếp thị và Chris Owen từ phòng bán hàng sẽ đại diện cho công ty của chúng ta tại hội nghị. (78) Hội nghị này sẽ kết nối chúng ta với nhiều khách hàng hơn và nhiều cơ hội kinh doanh thuận lợi hơn. (79) Do đó, mọi người được yêu cầu gửi e-mail một báo cáo tình trạng của phòng ban trong quý đầu tiên cho cả cô Wong và ông Owen trước khi kết thúc tuần để giúp họ chuẩn bị. Cảm ơn các bạn.","['A. Delete unnecessary data.', 'B. Submit a report.', 'C. Contact clients directly.', 'D. E-mail an order confirmation.']",B,Dịch đáp án: | 79. Người nghe được yêu cầu làm gì? | A. Xóa dữ liệu không cần thiết. | B. Gửi báo cáo. | C. Liên hệ trực tiếp với khách hàng. | D. Gửi email xác nhận đơn hàng.,
80,Who most likely are the listeners?,,"Welcome to the opening ceremony for this year's Young Novelists Seminar. (80) This seminar is available to students from high school to university and will help aspiring would-be novelists grow and develop into the masters of tomorrow. (81) The first thing we ask everyone to do is to fill out a name tag and attach it to your clothes. There are over one hundred students here, and it's difficult to keep track of everyone. (82) Next up, Natasha Marsh, the renowned literary critic, is going to give the opening speech of the ceremony. Please listen up. She has some inspiring words for everyone today.Dịch nghĩa:Chào mừng đến với lễ khai mạc cho Hội thảo Tiểu thuyết gia trẻ của năm nay. (80) Hội thảo này mở sẵn cho các học sinh từ trung học đến đại học và sẽ giúp truyền cảm hứng các tiểu thuyết gia tương lai trưởng thành và phát triển thành những bậc thầy của ngày mai. (81) Điều đầu tiên chúng tôi yêu cầu mọi người làm là điền vào một thẻ tên và gắn nó vào quần áo của bạn. Có hơn một trăm sinh viên ở đây, và thật khó để theo dõi tất cả mọi người. (82) Tiếp theo, Natasha Marsh, nhà phê bình văn học nổi tiếng, sẽ phát biểu khai mạc buổi lễ. Xin hãy lắng nghe. Cô ấy có một vài lời đầy cảm hứng cho tất cả mọi người ngày hôm nay.","['A. Professional novelists.', 'B. University professors.', 'C. Potential writers.', 'D. Prospective clients.']",C,Dịch đáp án: | 80. Ai có nhiều khả năng là người nghe nhất? | A. Tiểu thuyết gia chuyên nghiệp. | B. Giáo sư đại học. | C. Các nhà văn tiềm năng. | D. Khách hàng tiềm năng.,
81,What are the listeners asked to do?,,"Welcome to the opening ceremony for this year's Young Novelists Seminar. (80) This seminar is available to students from high school to university and will help aspiring would-be novelists grow and develop into the masters of tomorrow. (81) The first thing we ask everyone to do is to fill out a name tag and attach it to your clothes. There are over one hundred students here, and it's difficult to keep track of everyone. (82) Next up, Natasha Marsh, the renowned literary critic, is going to give the opening speech of the ceremony. Please listen up. She has some inspiring words for everyone today.Dịch nghĩa:Chào mừng đến với lễ khai mạc cho Hội thảo Tiểu thuyết gia trẻ của năm nay. (80) Hội thảo này mở sẵn cho các học sinh từ trung học đến đại học và sẽ giúp truyền cảm hứng các tiểu thuyết gia tương lai trưởng thành và phát triển thành những bậc thầy của ngày mai. (81) Điều đầu tiên chúng tôi yêu cầu mọi người làm là điền vào một thẻ tên và gắn nó vào quần áo của bạn. Có hơn một trăm sinh viên ở đây, và thật khó để theo dõi tất cả mọi người. (82) Tiếp theo, Natasha Marsh, nhà phê bình văn học nổi tiếng, sẽ phát biểu khai mạc buổi lễ. Xin hãy lắng nghe. Cô ấy có một vài lời đầy cảm hứng cho tất cả mọi người ngày hôm nay.","['A. Fill out a questionnaire.', 'B. Attach a name tag.', 'C. Introduce themselves.', 'D. Read a book.']",B,Dịch đáp án: | 81. Người nghe được yêu cầu làm gì? | A. Điền vào bảng câu hỏi. | B. Đính kèm thẻ tên. | C. Giới thiệu bản thân. | D. Đọc một cuốn sách.,
82,Who is Natasha Marsh?,,"Welcome to the opening ceremony for this year's Young Novelists Seminar. (80) This seminar is available to students from high school to university and will help aspiring would-be novelists grow and develop into the masters of tomorrow. (81) The first thing we ask everyone to do is to fill out a name tag and attach it to your clothes. There are over one hundred students here, and it's difficult to keep track of everyone. (82) Next up, Natasha Marsh, the renowned literary critic, is going to give the opening speech of the ceremony. Please listen up. She has some inspiring words for everyone today.Dịch nghĩa:Chào mừng đến với lễ khai mạc cho Hội thảo Tiểu thuyết gia trẻ của năm nay. (80) Hội thảo này mở sẵn cho các học sinh từ trung học đến đại học và sẽ giúp truyền cảm hứng các tiểu thuyết gia tương lai trưởng thành và phát triển thành những bậc thầy của ngày mai. (81) Điều đầu tiên chúng tôi yêu cầu mọi người làm là điền vào một thẻ tên và gắn nó vào quần áo của bạn. Có hơn một trăm sinh viên ở đây, và thật khó để theo dõi tất cả mọi người. (82) Tiếp theo, Natasha Marsh, nhà phê bình văn học nổi tiếng, sẽ phát biểu khai mạc buổi lễ. Xin hãy lắng nghe. Cô ấy có một vài lời đầy cảm hứng cho tất cả mọi người ngày hôm nay.","['A. An athlete.', ""B. A children's author."", 'C. An event organizer.', 'D. A guest speaker.']",D,Dịch đáp án: | 82. Natasha Marsh là ai? | A. Một vận động viên. | B. Một tác giả thiếu nhi. | C. Người tổ chức sự kiện. | D. Một diễn giả khách mời.,
83,"According to the speaker, what is happening today?",,"This is Ron Brixton from CCR News. I'm here at the WingTip shoe store next to Hyde Park, where (83) hundreds of people have been camping overnight, waiting to buy the new running shoe the company will release tomorrow. (84) Some people have camped here overnight or taken the day off work to be here. From the look of it, you'd think they were giving the shoes away. The shoe is a huge upgrade on WingTip's last pair of shoes because of their new Boost technology. The Boost technology is made with three stripes of an innovative material the company has developed, which contains thousands of specially formulated foam pellets called ""energy capsules"". To show appreciation to its most loyal customers, (85) WingTip are giving out a limited edition pair on the first day of sales, which features the signature of the Chicago Blue's star forward Jerry Halliwell.Dịch nghĩa:Đây là Ron Brixton từ đài CCR News. Tôi đang ở cửa hàng giày WingTip kế bên Công viên Hyde, nơi (83) hàng trăm người đã cắm trại qua đêm, chờ đợi để mua giày chạy bộ mới mà công ty sẽ phát hành vào ngày mai. (84) Một số người đã cắm trại ở đây qua đêm hoặc nghỉ phép một ngày để có mặt ở đây. Từ những gì đang diễn ra, bạn sẽ nghĩ rằng họ đang cho không các đôi giày. Chiếc giày là một bản nâng cấp khổng lồ từ đôi giày gần đây nhất của WingTip nhờ vào công nghệ Boost mới của họ. Công nghệ Boost được tạo ra với ba sọc của một vật liệu cải tiến mà công ty đã phát triển, trong đó chứa hàng ngàn viên bọt có công thức đặc biệt gọi là các ""viên nang năng lượng"". Để thể hiện sự cảm kích đối với các khách hàng trung thành nhất của mình, (85) WingTip lần đầu tiên đưa ra một đôi phiên bản giới hạn trong ngày bán hàng đầu tiên, có chữ ký của ngôi sao tiền vệ của Chicago Blue, Jerry Halliwell.","['A. A new product is being released.', 'B. The store is closing down.', 'C. Their staff is all quitting.', 'D. The company is recording a commercial.']",A,"Dịch đáp án: | 83. Theo người nói, chuyện gì đang xảy ra ngày hôm nay? | A. Một sản phẩm mới sắp được phát hành. | B. Cửa hàng sắp đóng cửa. | C. Nhân viên của họ đều nghỉ việc. | D. Công ty đang ghi hình quảng cáo.",
84,"What does the speaker mean when she says ""you'd think they were giving the shoes away""?",,"This is Ron Brixton from CCR News. I'm here at the WingTip shoe store next to Hyde Park, where (83) hundreds of people have been camping overnight, waiting to buy the new running shoe the company will release tomorrow. (84) Some people have camped here overnight or taken the day off work to be here. From the look of it, you'd think they were giving the shoes away. The shoe is a huge upgrade on WingTip's last pair of shoes because of their new Boost technology. The Boost technology is made with three stripes of an innovative material the company has developed, which contains thousands of specially formulated foam pellets called ""energy capsules"". To show appreciation to its most loyal customers, (85) WingTip are giving out a limited edition pair on the first day of sales, which features the signature of the Chicago Blue's star forward Jerry Halliwell.Dịch nghĩa:Đây là Ron Brixton từ đài CCR News. Tôi đang ở cửa hàng giày WingTip kế bên Công viên Hyde, nơi (83) hàng trăm người đã cắm trại qua đêm, chờ đợi để mua giày chạy bộ mới mà công ty sẽ phát hành vào ngày mai. (84) Một số người đã cắm trại ở đây qua đêm hoặc nghỉ phép một ngày để có mặt ở đây. Từ những gì đang diễn ra, bạn sẽ nghĩ rằng họ đang cho không các đôi giày. Chiếc giày là một bản nâng cấp khổng lồ từ đôi giày gần đây nhất của WingTip nhờ vào công nghệ Boost mới của họ. Công nghệ Boost được tạo ra với ba sọc của một vật liệu cải tiến mà công ty đã phát triển, trong đó chứa hàng ngàn viên bọt có công thức đặc biệt gọi là các ""viên nang năng lượng"". Để thể hiện sự cảm kích đối với các khách hàng trung thành nhất của mình, (85) WingTip lần đầu tiên đưa ra một đôi phiên bản giới hạn trong ngày bán hàng đầu tiên, có chữ ký của ngôi sao tiền vệ của Chicago Blue, Jerry Halliwell.","['A. The store is giving the shoes away.', 'B. There are a lot of people waiting to buy the product.', 'C. They ran out of stock.', 'D. A few people were upset about the product.']",B,"Dịch đáp án: | 84. Người nói có ý gì khi nói ""you'd think they were giving the shoes away""? | A. Cửa hàng đang tặng giày. | B. Có rất nhiều người đang chờ mua sản phẩm. | C. Họ đã hết hàng. | D. Một số người không hài lòng về sản phẩm.",
85,"According to the speaker, what is WingTip offering on the first day of sales?",,"This is Ron Brixton from CCR News. I'm here at the WingTip shoe store next to Hyde Park, where (83) hundreds of people have been camping overnight, waiting to buy the new running shoe the company will release tomorrow. (84) Some people have camped here overnight or taken the day off work to be here. From the look of it, you'd think they were giving the shoes away. The shoe is a huge upgrade on WingTip's last pair of shoes because of their new Boost technology. The Boost technology is made with three stripes of an innovative material the company has developed, which contains thousands of specially formulated foam pellets called ""energy capsules"". To show appreciation to its most loyal customers, (85) WingTip are giving out a limited edition pair on the first day of sales, which features the signature of the Chicago Blue's star forward Jerry Halliwell.Dịch nghĩa:Đây là Ron Brixton từ đài CCR News. Tôi đang ở cửa hàng giày WingTip kế bên Công viên Hyde, nơi (83) hàng trăm người đã cắm trại qua đêm, chờ đợi để mua giày chạy bộ mới mà công ty sẽ phát hành vào ngày mai. (84) Một số người đã cắm trại ở đây qua đêm hoặc nghỉ phép một ngày để có mặt ở đây. Từ những gì đang diễn ra, bạn sẽ nghĩ rằng họ đang cho không các đôi giày. Chiếc giày là một bản nâng cấp khổng lồ từ đôi giày gần đây nhất của WingTip nhờ vào công nghệ Boost mới của họ. Công nghệ Boost được tạo ra với ba sọc của một vật liệu cải tiến mà công ty đã phát triển, trong đó chứa hàng ngàn viên bọt có công thức đặc biệt gọi là các ""viên nang năng lượng"". Để thể hiện sự cảm kích đối với các khách hàng trung thành nhất của mình, (85) WingTip lần đầu tiên đưa ra một đôi phiên bản giới hạn trong ngày bán hàng đầu tiên, có chữ ký của ngôi sao tiền vệ của Chicago Blue, Jerry Halliwell.","['A. 10% discount.', 'B. A new pair of headphones.', 'C. Free shoes.', 'D. Special edition shoes.']",D,"Dịch đáp án: | 85. Theo người nói, WingTip sẽ cung cấp những gì trong ngày mở bán đầu tiên? | A. Giảm giá 10%. | B. Một cặp tai nghe mới. | C. Giày miễn phí. | D. Giày phiên bản đặc biệt.",
86,"According to the speaker, how can we see the value of Mr. Hardwell's work?",,"Our next guest speaker is Gary Hardwell, CEO of Broadbank industries. His company is responsible for funding our latest work, building wells in Africa. (86) The value of his contributions can be seen on the walls of his office, which are lined with pictures of the villages he has provided with clean drinking water. In the last year, Broadbank Industries has donated over 12 million dollars and built over 3000 wells across the poorest regions of Africa. This has grown into Mr. Hardwell's greatest passion, and (87) he now spends about six months of each year in Africa overseeing his workers and ensuring his money is being spent in the right places. I think it's safe to say that Mr. Hardwell should leave some room on his walls. In the next year, he intends to increase well production by 10 percent. He has written a book about his experiences titled Water is Life: Giving Back to the World. (88) Today he will preview the book and show us some video footage of the work he is doing in Africa. Please put your hands together for Mr. Hardwell.Dịch nghĩa:Diễn giả khách mời tiếp theo của chúng ta là Gary Hardwell, tổng giám đốc của Tập đoàn Broadbank. Công ty của ông chịu trách nhiệm tài trợ cho công trình mới nhất của chúng tôi, xây dựng các giếng ở Châu Phi. (86) Giá trị của những đóng góp của ông ấy có thể được nhìn thấy trên các bức tường của văn phòng của ông, được sắp thành hàng với các hình ảnh của những ngôi làng ông ấy đã cung cấp nước uống sạch. Trong năm ngoái, Tập đoàn Broadbank đã quyên góp hơn 12 triệu đô la và xây dựng hơn 3000 giếng trên khắp các khu vực nghèo nhất ở châu Phi. Điều này đã phát triển thành niềm đam mê lớn nhất của ông Hardwell và hiện (87) ông dành khoảng sáu tháng mỗi năm ở Châu Phi để giám sát các công nhân của mình và đảm bảo tiền của ông được chi tiêu đúng nơi. Tôi nghĩ có thể nói một cách chắc chắn rằng ông Hardwell nên để một vài chỗ trống cho những bức tường của mình. Trong năm tới, ông dự định sẽ tăng số lượng giếng được xây dựng lên 10%. Ông đã viết một cuốn sách về những trải nghiệm của mình có tựa đề Nước là cuộc sống: Mang trở lại cho thế giới. (88) Hôm nay ông ấy sẽ duyệt qua về cuốn sách và cho chúng ta xem một số cảnh quay video về công việc ông ấy đang làm ở Châu Phi. Xin hãy cho một tràng pháo tay cho ông Hardwell.","['A. He has paintings on his walls.', 'B. He has a lot of pictures on his walls.', 'C. He has a lot of fan mail in his office.', 'D. He has a special award on his desk.']",B,"Dịch đáp án: | 86. Theo diễn giả, làm thế nào chúng ta có thể thấy được giá trị công việc của ông Hardwell? | A. Anh ấy có những bức vẽ trên tường. | B. Anh ấy có rất nhiều bức tranh trên tường. | C. Anh ấy có rất nhiều thư của người hâm mộ trong văn phòng. | D. Anh ấy có một giải thưởng đặc biệt trên bàn làm việc của mình.",
87,"Why does the speaker say, ""I think it's safe to say that Mr. Hardwell should leave some room on his walls""?",,"Our next guest speaker is Gary Hardwell, CEO of Broadbank industries. His company is responsible for funding our latest work, building wells in Africa. (86) The value of his contributions can be seen on the walls of his office, which are lined with pictures of the villages he has provided with clean drinking water. In the last year, Broadbank Industries has donated over 12 million dollars and built over 3000 wells across the poorest regions of Africa. This has grown into Mr. Hardwell's greatest passion, and (87) he now spends about six months of each year in Africa overseeing his workers and ensuring his money is being spent in the right places. I think it's safe to say that Mr. Hardwell should leave some room on his walls. In the next year, he intends to increase well production by 10 percent. He has written a book about his experiences titled Water is Life: Giving Back to the World. (88) Today he will preview the book and show us some video footage of the work he is doing in Africa. Please put your hands together for Mr. Hardwell.Dịch nghĩa:Diễn giả khách mời tiếp theo của chúng ta là Gary Hardwell, tổng giám đốc của Tập đoàn Broadbank. Công ty của ông chịu trách nhiệm tài trợ cho công trình mới nhất của chúng tôi, xây dựng các giếng ở Châu Phi. (86) Giá trị của những đóng góp của ông ấy có thể được nhìn thấy trên các bức tường của văn phòng của ông, được sắp thành hàng với các hình ảnh của những ngôi làng ông ấy đã cung cấp nước uống sạch. Trong năm ngoái, Tập đoàn Broadbank đã quyên góp hơn 12 triệu đô la và xây dựng hơn 3000 giếng trên khắp các khu vực nghèo nhất ở châu Phi. Điều này đã phát triển thành niềm đam mê lớn nhất của ông Hardwell và hiện (87) ông dành khoảng sáu tháng mỗi năm ở Châu Phi để giám sát các công nhân của mình và đảm bảo tiền của ông được chi tiêu đúng nơi. Tôi nghĩ có thể nói một cách chắc chắn rằng ông Hardwell nên để một vài chỗ trống cho những bức tường của mình. Trong năm tới, ông dự định sẽ tăng số lượng giếng được xây dựng lên 10%. Ông đã viết một cuốn sách về những trải nghiệm của mình có tựa đề Nước là cuộc sống: Mang trở lại cho thế giới. (88) Hôm nay ông ấy sẽ duyệt qua về cuốn sách và cho chúng ta xem một số cảnh quay video về công việc ông ấy đang làm ở Châu Phi. Xin hãy cho một tràng pháo tay cho ông Hardwell.","['A. To discuss another issue.', 'B. To suggest he is going to continue doing more work.', 'C. To recommend a friend to him.', 'D. To make sure the audience is familiar with him.']",B,"Dịch đáp án: | 87. Tại sao người nói nói: ""I think it's safe to say that Mr. Hardwell should leave some room on his walls""? | A. Để thảo luận về một vấn đề khác. | B. Để gợi ý anh ấy sẽ tiếp tục làm nhiều việc hơn. | C. Để giới thiệu một người bạn cho anh ấy. | D. Để chắc chắn rằng khán giả đã quen thuộc với anh ấy.",
88,What will Mr. Hardwell do today?,,"Our next guest speaker is Gary Hardwell, CEO of Broadbank industries. His company is responsible for funding our latest work, building wells in Africa. (86) The value of his contributions can be seen on the walls of his office, which are lined with pictures of the villages he has provided with clean drinking water. In the last year, Broadbank Industries has donated over 12 million dollars and built over 3000 wells across the poorest regions of Africa. This has grown into Mr. Hardwell's greatest passion, and (87) he now spends about six months of each year in Africa overseeing his workers and ensuring his money is being spent in the right places. I think it's safe to say that Mr. Hardwell should leave some room on his walls. In the next year, he intends to increase well production by 10 percent. He has written a book about his experiences titled Water is Life: Giving Back to the World. (88) Today he will preview the book and show us some video footage of the work he is doing in Africa. Please put your hands together for Mr. Hardwell.Dịch nghĩa:Diễn giả khách mời tiếp theo của chúng ta là Gary Hardwell, tổng giám đốc của Tập đoàn Broadbank. Công ty của ông chịu trách nhiệm tài trợ cho công trình mới nhất của chúng tôi, xây dựng các giếng ở Châu Phi. (86) Giá trị của những đóng góp của ông ấy có thể được nhìn thấy trên các bức tường của văn phòng của ông, được sắp thành hàng với các hình ảnh của những ngôi làng ông ấy đã cung cấp nước uống sạch. Trong năm ngoái, Tập đoàn Broadbank đã quyên góp hơn 12 triệu đô la và xây dựng hơn 3000 giếng trên khắp các khu vực nghèo nhất ở châu Phi. Điều này đã phát triển thành niềm đam mê lớn nhất của ông Hardwell và hiện (87) ông dành khoảng sáu tháng mỗi năm ở Châu Phi để giám sát các công nhân của mình và đảm bảo tiền của ông được chi tiêu đúng nơi. Tôi nghĩ có thể nói một cách chắc chắn rằng ông Hardwell nên để một vài chỗ trống cho những bức tường của mình. Trong năm tới, ông dự định sẽ tăng số lượng giếng được xây dựng lên 10%. Ông đã viết một cuốn sách về những trải nghiệm của mình có tựa đề Nước là cuộc sống: Mang trở lại cho thế giới. (88) Hôm nay ông ấy sẽ duyệt qua về cuốn sách và cho chúng ta xem một số cảnh quay video về công việc ông ấy đang làm ở Châu Phi. Xin hãy cho một tràng pháo tay cho ông Hardwell.","['A. Share some of his business knowledge.', 'B. Preview the book and show some video.', 'C. Read some excerpts from his book.', 'D. Read a chapter from his book.']",B,Dịch đáp án: | 88. Hôm nay ông Hardwell sẽ làm gì? | A. Chia sẻ một số kiến thức kinh doanh của mình. | B. Xem trước cuốn sách và chiếu một số video. | C. Đọc một số đoạn trích từ cuốn sách của anh ấy. | D. Đọc một chương trong cuốn sách của anh ấy.,
89,Where does the speaker most likely work?,,"Hello, Ms. Francis. (89) This is Barry Walls from Calvin Fashion. We received your design portfolio last month. (90) I'm sorry I didn't call you sooner, I was out of town on a business trip. I really liked your designs; it is exactly the kind of look we are going for in our summer collection. I would like to meet you for dinyour designs; it is exactly the kind of look we are going for in our summer collection. I would like to meet you for dinner in the next few days and show you the designs we are interested in. (91) If you are happy with the arrangement, we can go back to my office and prepare a contract. Please get back to me as soon as possible so we can arrange a time. I really look forward to working with you.Dịch nghĩa:Xin chào, cô Francis. (89) Đây là Barry Walls từ Thời trang Calvin. Chúng tôi đã nhận được tập hồ sơ thiết kế của bạn vào tháng trước. (90) Tôi xin lỗi tôi đã không gọi cho bạn sớm hơn, tôi đã ra khỏi thành phố trong một chuyến công tác. Tôi thực sự thích thiết kế của bạn; nó chính xác là kiểu dáng mà chúng tôi sẽ theo đuổi trong bộ sưu tập mùa hè của mình. Tôi muốn gặp bạn cho bữa tối trong vài ngày tới và cho bạn xem các thiết kế mà chúng ta quan tâm. (91) Nếu bạn hài lòng với sự sắp xếp, chúng ta có thể quay lại văn phòng của tôi và chuẩn bị một hợp đồng. Vui lòng gọi lại cho tôi càng sớm càng tốt để chúng ta có thể sắp xếp thời gian. Tôi thực sự mong chờ được làm việc với bạn.","['A. Lawyers office.', 'B. Fashion company.', 'C. Airline company.', 'D. Accounting firm.']",B,Dịch đáp án: | 89. Người nói có khả năng làm việc ở đâu nhất? | A. Văn phòng luật sư. | B. Công ty thời trang. | C. Công ty hàng không. | D. Công ty kế toán.,
90,"Why does the speaker say ""I was out of town on a business trip""?",,"Hello, Ms. Francis. (89) This is Barry Walls from Calvin Fashion. We received your design portfolio last month. (90) I'm sorry I didn't call you sooner, I was out of town on a business trip. I really liked your designs; it is exactly the kind of look we are going for in our summer collection. I would like to meet you for dinyour designs; it is exactly the kind of look we are going for in our summer collection. I would like to meet you for dinner in the next few days and show you the designs we are interested in. (91) If you are happy with the arrangement, we can go back to my office and prepare a contract. Please get back to me as soon as possible so we can arrange a time. I really look forward to working with you.Dịch nghĩa:Xin chào, cô Francis. (89) Đây là Barry Walls từ Thời trang Calvin. Chúng tôi đã nhận được tập hồ sơ thiết kế của bạn vào tháng trước. (90) Tôi xin lỗi tôi đã không gọi cho bạn sớm hơn, tôi đã ra khỏi thành phố trong một chuyến công tác. Tôi thực sự thích thiết kế của bạn; nó chính xác là kiểu dáng mà chúng tôi sẽ theo đuổi trong bộ sưu tập mùa hè của mình. Tôi muốn gặp bạn cho bữa tối trong vài ngày tới và cho bạn xem các thiết kế mà chúng ta quan tâm. (91) Nếu bạn hài lòng với sự sắp xếp, chúng ta có thể quay lại văn phòng của tôi và chuẩn bị một hợp đồng. Vui lòng gọi lại cho tôi càng sớm càng tốt để chúng ta có thể sắp xếp thời gian. Tôi thực sự mong chờ được làm việc với bạn.","[""A. To explain why she hadn't called."", 'B. To arrange an appointment.', 'C. To sign the contract.', 'D. To discuss the building plan.']",A,"Dịch đáp án: | 90. Tại sao người nói nói ""I was out of town on a business trip""? | A. Để giải thích tại sao cô ấy không gọi. | B. Để sắp xếp một cuộc hẹn. | C. Để ký kết hợp đồng. | D. Để thảo luận về kế hoạch xây dựng.",
